##BEG header separator=,
Start Date,Wed Mar 11 01:35:30 2015
End Date,Wed Mar 11 01:35:32 2015
Duration,1.611133,sec
Application Name,unknown
Type of Report,final
Thread Count,8
ompP Version Major,0
ompP Version Minor,8
ompP Version Revision,99
ompP Build Date,Nov 16 2014 11:48:18
PAPI Support,available
Max Counters,4
PAPI Active,no
Used Counters,0
OMPP_CTR1,not set
OMPP_CTR2,not set
OMPP_CTR3,not set
OMPP_CTR4,not set
Max Evaluators,4
Used Evaluators,0
OMPP_EVAL1,not set
OMPP_EVAL2,not set
OMPP_EVAL3,not set
OMPP_EVAL4,not set
##END header
##BEG region overview
PARALLEL,2
7,0.000000,0,0.000000,0.000000,0.000000
SUM,0.000000,0,0.000000,0.000000,0.000000
##END R00013 flat profile

##BEG R00002 flat profile
R00002,PARALLEL,main.c,180,208,
TID,execT,execC,bodyT,exitBarT,startupT,shutdwnT,taskT
0,1.609320,1,1.609306,0.000003,0.000005,0.000005,0.000000
1,1.609320,1,1.609309,0.000002,0.000004,0.000004,0.000000
2,1.609320,1,1.609298,0.000012,0.000005,0.000004,0.000000
3,1.609320,1,1.609304,0.000005,0.000005,0.000005,0.000000
4,1.609320,1,1.609302,0.000008,0.000005,0.000004,0.000000
5,1.609320,1,1.609297,0.000014,0.000004,0.000005,0.000000
6,1.609320,1,1.609305,0.000005,0.000005,0.000004,0.000000
7,1.609320,1,1.609300,0.000010,0.000005,0.000005,0.000000
SUM,12.874561,8,12.874422,0.000059,0.000038,0.000036,0.000000
##END R00002 flat profile

##END flat region profiles

##BEG callgraph region profiles
##BEG R00001 callgraph profile
[*00],unknown
[=01],R00001,PARALLEL,main.c,41,42,
TID,execT,execC,bodyT/I,bodyT/E,exitBarT,startupT,shutdwnT,taskT
0,0.000231,1,0.000004,0.000004,0.000004,0.000202,0.000003,0.000000
1,0.000231,1,0.000002,0.000002,0.000007,0.000201,0.000004,0.000000
2,0.000231,1,0.000002,0.000002,0.000007,0.000201,0.000003,0.000000
3,0.000231,1,0.000004,0.000004,0.000004,0.000202,0.000002,0.000000
4,0.000231,1,0.000004,0.000004,0.000004,0.000202,0.000004,0.000000
